City,Rooms,SizeSqm,Floor,Age,HasParking,HasElevator,Price
RamatGan,2,68,3,42,0,0,1781000
Haifa,5,138,19,19,1,1,2627000
PetahTikva,5,137,6,67,1,1,2533000
Rishon,4,98,11,52,1,1,2248000
Netanya,5,117,6,6,1,1,3806000
Herzliya,6,136,14,44,1,1,5068000
BeerSheva,6,136,5,56,0,1,1056000
BeerSheva,5,125,1,69,0,0,1049000
TelAviv,6,144,5,45,0,1,4738000
RamatGan,5,118,1,43,1,1,3589000
RamatGan,3,103,17,28,1,1,3957000
Netanya,6,150,16,50,1,1,3411000
TelAviv,3,86,11,61,1,1,2758000
BeerSheva,3,82,8,23,0,1,974000
Herzliya,5,129,10,41,0,1,4753000
Jerusalem,6,150,1,16,0,1,4284000
BatYam,5,133,6,13,0,1,3771000
BatYam,2,80,0,48,0,1,1602000
Haifa,2,71,8,17,0,1,1188000
TelAviv,2,80,18,37,0,1,3288000
TelAviv,4,112,9,58,1,1,3787000
TelAviv,6,157,3,12,1,1,7805000
BatYam,4,107,17,3,0,1,2635000
Haifa,5,126,3,34,0,1,1944000
Netanya,6,147,3,44,0,0,2655000
Haifa,3,91,15,6,0,1,1687000
Rishon,4,110,11,48,0,1,2311000
Jerusalem,3,87,9,61,1,1,2272000
BatYam,3,100,1,40,1,0,2054000
Jerusalem,2,73,2,24,1,1,2121000
PetahTikva,6,141,10,33,1,1,3550000
BeerSheva,2,64,16,21,0,1,821000
Jerusalem,4,110,2,9,1,1,3639000
BatYam,5,139,10,69,1,1,2429000
RamatGan,2,79,0,60,1,1,1928000
BeerSheva,4,120,9,75,0,1,1030000
BatYam,6,140,17,74,0,1,2619000
BeerSheva,5,133,19,69,0,1,1205000
Jerusalem,6,152,7,68,1,1,3166000
TelAviv,3,92,20,46,0,1,3197000
PetahTikva,2,71,14,51,0,1,1468000
RamatGan,2,61,12,3,1,1,2735000
Haifa,3,100,20,14,1,1,2118000
TelAviv,2,63,1,42,0,1,2361000
BeerSheva,6,141,20,24,1,1,1703000
BatYam,2,66,2,57,0,1,1231000
Rishon,6,147,4,72,1,1,2970000
BatYam,3,83,8,74,0,1,1482000
TelAviv,2,84,0,23,0,0,3058000
Rishon,5,121,15,1,1,1,3960000
BatYam,2,68,18,31,0,1,1495000
Rishon,2,84,17,5,1,1,2821000
Netanya,6,150,8,76,1,1,2752000
BatYam,5,120,6,51,1,1,2586000
Jerusalem,6,137,18,2,0,1,4437000
Haifa,2,61,13,3,0,1,1125000
Jerusalem,2,72,7,22,0,1,1981000
Haifa,4,104,1,7,1,1,1964000
PetahTikva,4,115,16,42,0,1,2119000
Herzliya,6,133,12,51,1,1,4694000
Haifa,5,137,4,78,0,1,1790000
Jerusalem,6,141,5,41,0,1,3430000
RamatGan,6,156,13,35,1,1,4578000
Herzliya,6,139,17,7,1,1,6076000
BeerSheva,3,96,13,38,0,1,1108000
Herzliya,2,82,13,51,1,1,2619000
RamatGan,4,110,0,73,1,1,2476000
Rishon,6,138,3,59,0,1,2604000
TelAviv,6,143,6,17,1,1,6990000
Herzliya,2,64,10,24,1,1,2358000
BatYam,5,133,14,62,0,1,2591000
BatYam,2,64,8,34,0,1,1553000
TelAviv,3,85,13,54,1,1,3066000
BeerSheva,3,93,2,5,1,1,1348000
